date,mean_temp,diff_temp,max_temp,min_temp
1/1/2017,0.5,2.7,1.9,-0.8
1/2/2017,3,7.1,6.8,-0.3
1/3/2017,5,5.6,7.1,1.5
1/4/2017,5.8,4.7,7.3,2.6
1/5/2017,0,9.2,3.3,-5.9
1/6/2017,-3,6.2,-0.3,-6.5
1/7/2017,-0.2,5.5,3.4,-2.1
1/8/2017,4.3,3.3,6.1,2.8
1/9/2017,4.8,2.6,5.9,3.3
1/10/2017,5.3,3.7,6.6,2.9
1/11/2017,7.2,4.7,10.4,5.7
1/12/2017,5.2,7.2,7.4,0.2
1/13/2017,3.1,5.4,5.6,0.2
1/14/2017,1.8,4.7,4.8,0.1
1/15/2017,0.7,6.6,4.8,-1.8
1/16/2017,-1.6,5.6,1.2,-4.4
1/17/2017,-3.4,6.3,1.3,-5
1/18/2017,-3.8,3.4,-1.9,-5.3
1/19/2017,-2,8.7,3.1,-5.6
1/20/2017,-0.3,10.3,5.1,-5.2
1/21/2017,-0.2,10.2,5,-5.2
1/22/2017,-1.7,11.1,3.7,-7.4
1/23/2017,1.6,3.4,3.1,-0.3
1/24/2017,0.8,2.1,2.1,0
1/25/2017,-1.1,4.9,0.6,-4.3
1/26/2017,-2.8,5.9,0.6,-5.3
1/27/2017,0.8,12.1,5.1,-7
1/28/2017,5.4,6.1,8.1,2
1/29/2017,4.7,3.4,6.5,3.1
1/30/2017,4.9,4.4,7.2,2.8
1/31/2017,3.7,3.5,6.1,2.6
2/1/2017,3.4,4.9,5.4,0.5
2/2/2017,8.6,7.3,12.5,5.2
2/3/2017,8.6,5.6,11.9,6.3
2/4/2017,5.7,4.8,7.4,2.6
2/5/2017,4.4,8.8,7.7,-1.1
2/6/2017,4.3,7.6,6.6,-1
2/7/2017,2.4,3,3.9,0.9
2/8/2017,0,2,0.9,-1.1
2/9/2017,-1.6,2,-1,-3
2/10/2017,-2.3,3.2,-1.3,-4.5
2/11/2017,-0.4,2.7,1,-1.7
2/12/2017,0.7,3.1,2.5,-0.6
2/13/2017,2.2,8.5,7.1,-1.4
2/14/2017,3.8,9.9,9.4,-0.5
2/15/2017,7.4,13.2,13.5,0.3
2/16/2017,6.8,4.4,9.9,5.5
2/17/2017,7,3.4,8.6,5.2
2/18/2017,5.6,7.1,10.3,3.2
2/19/2017,6.2,6,9.2,3.2
2/20/2017,9.1,3.7,10.9,7.2
2/21/2017,9.6,2.5,11.1,8.6
2/22/2017,9.5,3,10.8,7.8
2/23/2017,8,6.3,10.5,4.2
2/24/2017,4.5,9.3,8.7,-0.6
2/25/2017,5.8,7.1,8.9,1.8
2/26/2017,8.7,3.9,10.6,6.7
2/27/2017,8.7,6.3,10.6,4.3
2/28/2017,4.7,3.3,6.5,3.2
3/1/2017,6.3,6.2,9.4,3.2
3/2/2017,6.6,4,8.2,4.2
3/3/2017,5.9,7.6,8.8,1.2
3/4/2017,9.2,7,13.2,6.2
3/5/2017,6.9,6.8,10.6,3.8
3/6/2017,6,6.3,9.5,3.2
3/7/2017,6.7,4.9,9.4,4.5
3/8/2017,5.9,9.8,10.6,0.8
3/9/2017,7.7,12.1,12.8,0.7
3/10/2017,6.5,12.1,11.2,-0.9
3/11/2017,7.3,11.5,13,1.5
3/12/2017,7.9,13.4,14.8,1.4
3/13/2017,6.5,14.2,13.7,-0.5
3/14/2017,8.8,11.7,14.9,3.2
3/15/2017,9,12.3,13.9,1.6
3/16/2017,9.4,15.7,16.8,1.1
3/17/2017,8.3,3.6,10.3,6.7
3/18/2017,9.7,5.3,12.7,7.4
3/19/2017,11.3,2.9,12.7,9.8
3/20/2017,10.3,2.7,11.5,8.8
3/21/2017,7.5,8.5,9.8,1.3
3/22/2017,6.3,12.7,12.4,-0.3
3/23/2017,8.2,12.1,14,1.9
3/24/2017,8.4,11.1,14.2,3.1
3/25/2017,8.5,12.2,14.3,2.1
3/26/2017,8,9.7,13,3.3
3/27/2017,9.2,15.6,17.4,1.8
3/28/2017,11.3,19.1,19.7,0.6
3/29/2017,12.6,4.4,14.7,10.3
3/30/2017,15.7,11,21.8,10.8
3/31/2017,14.5,12.9,21.8,8.9
4/1/2017,10.8,8.1,14.1,6
4/2/2017,10.3,12.5,16.9,4.4
4/3/2017,8.1,11.6,14.3,2.7
4/4/2017,9.8,14.3,16.5,2.2
4/5/2017,9.2,6.6,12.8,6.2
4/6/2017,8.1,8,11.8,3.8
4/7/2017,10.5,6.5,13.8,7.3
4/8/2017,9.6,12.6,15.5,2.9
4/9/2017,11.7,20.2,21,0.8
4/10/2017,9.8,11.4,15.5,4.1
4/11/2017,9.6,11.5,13.8,2.3
4/12/2017,9.8,3.6,11.9,8.3
4/13/2017,9.3,7.3,13.3,6
4/14/2017,9.9,6.5,13,6.5
4/15/2017,9.6,5.6,12.1,6.5
4/16/2017,7.9,5.8,10.8,5
4/17/2017,6.5,8.2,10.9,2.7
4/18/2017,6.1,10.3,11.1,0.8
4/19/2017,3.9,9.6,8.3,-1.3
4/20/2017,6.9,16.3,12.9,-3.4
4/21/2017,11.1,6.7,14.9,8.2
4/22/2017,7.8,7.3,11.3,4
4/23/2017,6.6,9.4,11.4,2
4/24/2017,9.3,7.8,13,5.2
4/25/2017,5.9,7.8,9.9,2.1
4/26/2017,5,11.8,10.4,-1.4
4/27/2017,6.1,12.9,10.9,-2
4/28/2017,7.6,8.7,11.7,3
4/29/2017,7.6,13.5,14,0.5
4/30/2017,12.3,15.1,18.4,3.3
5/1/2017,11.7,5.5,13.7,8.2
5/2/2017,10,10.5,15.2,4.7
5/3/2017,10.7,7.5,15.2,7.7
5/4/2017,10.4,5.6,13.3,7.7
5/5/2017,8.9,4.5,11.1,6.6
5/6/2017,12.8,12.9,18.8,5.9
5/7/2017,11.7,7.6,16.2,8.6
5/8/2017,9.7,11,15.3,4.3
5/9/2017,8,12.7,13.8,1.1
5/10/2017,9,16,15.9,-0.1
5/11/2017,15.4,18.1,22.8,4.7
5/12/2017,15.5,9.2,21.2,12
5/13/2017,14,10.5,19,8.5
5/14/2017,13.4,13.3,19.9,6.6
5/15/2017,14.9,15.7,21.2,5.5
5/16/2017,20.4,11,26.2,15.2
5/17/2017,22.3,14,28.4,14.4
5/18/2017,16.5,6.7,21.1,14.4
5/19/2017,13.6,6.2,16.7,10.5
5/20/2017,12.5,9.9,17.3,7.4
5/21/2017,14.4,14.8,20.2,5.4
5/22/2017,17.6,16.5,24.6,8.1
5/23/2017,16.1,11.1,21,9.9
5/24/2017,15.9,13.3,22.3,9
5/25/2017,17.4,13.8,23,9.2
5/26/2017,20.3,15.6,26.6,11
5/27/2017,22.9,15.9,31.9,16
5/28/2017,20.5,11.7,26.6,14.9
5/29/2017,21.9,13.2,28.6,15.4
5/30/2017,18.3,5.7,21.2,15.5
5/31/2017,17.4,11.5,22.2,10.7
6/1/2017,16.6,15.9,23.4,7.5
6/2/2017,19.8,15.8,26.6,10.8
6/3/2017,18.4,9.4,23.7,14.3
6/4/2017,15.4,10.8,19.5,8.7
